Brand name	Markenname
Power consumption in stand by mode	Leistungsaufnahme im Bereitschaftszustand
Model identifier	Modellkennung
Power consumption in off mode	Leistungsaufnahme im Aus-Zustand
Energy efficiency class	Energieeffizienzklasse
Number of place settings	Nennkapazität in Standardgedecken
Category	Kategorie
Annual Energy Consumption	Jährlicher Energieverbrauch
Energy efficiency index	Energieeffizienzklassenindex
Power consumption in network mode	Leistungsaufnahme im vernetzten Bereitschaftszustand
Weighted energy consumption	Gewichteter Energieverbrauch
Energy efficiency class for each cavity	Energieeffizienzklasse für jeden Garraum
Visible screen diagonal	Sichtbare Bildschirmdiagonale
Nominal useful luminous flux	Nennwert des nutzbaren Lichtstroms
Energy consumption in kWh per year, based on 280 standard cleaning cycles using cold water fill and the consumption of the low power modes.	Jahresenergieverbrauch (berechnet für den Standardreinigungszyklus bei 280 Standardreinigungszyklen bei Kaltwasserbefüllung und Verwendung der Energiesparoption) in kWh/Jahr.
Actual energy consumption will depend on how the applinces is used	Der tatsächliche Energieverbrauch hängt von der Art der Nutzung des Geräts ab.
Energy consumption in kWh per year, based on standard test results for 24 hours.	Jahresenergieverbrauch in kWh/Jahr basierend auf Standardtestergebnissen bei 24 Stunden Laufzeit.
Actual energy consumption will depend on how the appliance is used and where it is located	Der tatsächliche Energieverbrauch hängt von der Art der Nutzung und dem Standort des Geräts ab.
Fluid Dynamic Efficiency	Fluiddynamische Effizienz
Nominal luminous flux	Nomineller Lichtstrom
Power consumption in ON mode	Leistungsaufnahme im Ein-Zustand
Energy consumption in kWh per year, based on 220 standard washing cycles for cotton programmes at 60°C and 40°C at full and partial load, and the consumption of the low-power modes.	Gewichteter Jahresenergieverbrauch in kWh/Jahr auf der Grundlage von 220 Standard-Waschzyklen; Berechnung anhand des Verbrauchs der Standardprogramme „Baumwolle 60°C“ und „Baumwolle 40°C“ bei vollständiger und Teilbefüllung und unter Einbeziehung des Verbrauchs im Energiesparmodus.
Actual energy consumption will depend on how the appliance is used.	Der tatsächliche Energieverbrauch hängt von der Art der Nutzung des Geräts ab.
Nominal life time	Nennlebensdauer
Energy consumption of the standard program	Energieverbrauch des Standardprogramms
Freezer capacity	Nutzinhalt Gefrierteil
Fluid Dynamic Efficiency class	Fluiddynamische Effizienzklasse
Rated power	Bemessungsleistungsaufnahme
Airborne acoustical A-weighted sound power emissions  at boost setting	A-bewertete Luftschallemissionen bei Booster-Funktion
Lamp power factor	Leistungsfaktor der Leuchtmittel
Duration of the left-on mode	Dauer des unausgeschalteten Zustands
Rated luminous flux	Bemessungslichtstrom
Lumen maintenace factor at the end of the nominal life	Lampenlichtstromerhaltwert am Ende der Nennlebensdauer
Rated lamp life time	Bemessungslebensdauer
Power consumption in standby mode	Leistungsaufnahme im Bereitschaftszustand
Starting time	Anfangszeit
Colour rendering	Farbwiedergabe
Type of installation	Installationstypus
Lumen maintenance factor	Lampenlichtstromerhaltwert
Instructions on how to clean up lamp debris in case of accidental breakage	Anleitung über die Entsorgung von Bruchstücken bei versehentlichem Zerbrechen des Leuchtmittels
Recommendations on how to dispose of the lamp at its end of life	Empfehlungen über die Entsorgung des Leuchtmittels nach Ablauf der Lebensdauer der Lampe
Colour consistency	Farbkonstanz
Rated peak intensity in candela	Nennleistungsaufnahme in Candela
Rated beam angle	Nennstrahlungswinkel
Intended for use in outdoor or industrial applications	Für den Gebrauch in Außenbeleuchtungen oder zur industriellen Anwendung
Spectral power distribution in the range 180-800 nm	Spektrale Leistungsverteilung im Umfang von 180-800 nm
Information on how to clean up lamp debris in case of accidental lamp breakage	Informationen über die Entsorgung von Bruchstücken im Falle eines Zerbrechens des Leuchtmittels
User interface	Nutzerschnittstelle
Worktop material	Arbeitsplattenmaterial
Side racks	Seitliche Ablagen
Child lock	Kindersicherung
Glass colour	Glasfarbe
No of telescopic slides	Anzahl der Teleskopschienen
Booster function	Booster-Funktion
Grid material	Material der Topfhalter
No of wire shelves	Anzahl der Gitterroste
Cooking timer	Elektronischer Timer
Energy consumption in kWh per complete operating (washing, spinning and drying) cycle using standard 60° C cotton cycle, and 'dry cotton' drying cycle	Energieverbrauch pro vollständigem Betriebszyklus (Waschen, Schleudern und Trocknen) in kWh beim Standardprogramm „Baumwolle 60°C“ und beim Standardprogramm „Baumwolle, schranktrocken“
Knobs included	Knöpfe inklusive
No of grill pans	Anzahl der Fettpfannen
Pause function	Pausenfunktion
Integrated safety valves	Integrierte Sicherheitsventile
Type	Typ
Energy consumption in kWh per washing (washing and spinning only ) cycle using standard 60° C cotton cycle.	Energieverbrauch nur für Wasch- und Schleuderprogramm in kWh beim Standardprogramm „Baumwolle 60°C“
No of baking trays	Anzahl der Backbleche
Built-in pan detector	Integrierter Topfeignungssensor
Push-and-Turn Start	Praktische elektrische Zündung mit Druck- und Drehknopf
Output power main unit	Ausgangsleistung des Hauptgeräts
Washing performance class	Waschwirkungsklasse
Meat thermometer	Fleischthermometer
Ignition in separate button	Separate Zündung
Output power subwoofer	Ausgangsleistung des Subwoofers
Maximum spin speed attained for standard 60° C cotton cycle	Maximale Schleudergeschwindigkeit beim Standardprogramm „Baumwolle 60°C“
Number of Booster Zones	Anzahl der Booster-Zonen
Turnspit	Drehspieß
WOK grid adapter	Adapterring für Wok
Wireless subwoofer	Drahtloser Subwoofer
Capacity(in kg) of appliance for standard 60° C cotton cycle (without drying)	Füllmenge (Waschen) beim Standardprogramm „Baumwolle 60°C“ in kg
Bridge zone	Bridge-Zone
No of door glass	Anzahl der Glastüren
Special gas burner (ie: trippel crown / two crown burner (power wok))	Spezialgasbrenner (d. h.: Brenner mit Dreifachflamme/Zweifachflamme (ideal für das Kochen mit dem Wok))
Frequency range	Frequenzbereich
Capacity(in kg) of appliance for 'dry cotton' (drying) cycle	Füllmenge (Trocknen) beim Standardprogramm „Baumwolle, schranktrocken“ in kg
Left front power	Leistung, vorn links
Cooling fan	Kühlgebläse
Number of cooking function	Anzahl der Garfunktionen
High Efficiancy Burner	Hochleistungsbrenner
Sound control	Tonregler
Light sensor	Lichtsensor
Water consumption, in litres, per complete operating (washing, spinning and drying) cycle using standard 60° C cotton washing cycle and 'dry cotton' drying cycle	Wasserverbrauch in Liter pro vollständigem Betriebszyklus (Waschen, Schleudern und Trocknen) beim Standardprogramm „Baumwolle 60°C“ und „Baumwolle, schranktrocken“
…incl boost (left front)	... inkl. Booster (vorne links)
Storage drawer under oven	Schublade unter dem Backofen
Top and bottom heating	Ober-/Unterhitze
Vertical burner	Vertikaler Brenner
Bass and treble control	Bass- und Höhenregler
TV receiver, digital	TV-Empfänger, digital
Where applicable, noise during washing, spinning and drying cycles using standard 60° C cotton washing cycle and 'dry cotton' drying cycle	Wo zutreffend: Geräuschemissionen Waschen/Schleudern und Trocknen beim Standardprogramm „Baumwolle 60°C“ und „Baumwolle, schranktrocken“.
Left rear power	Leistung, hinten links
Mechanical child lock on door	Mechanische Kindersicherung an Tür
Top heating	Oberhitze
Subwoofer control	Subwoofer-Regler
CI+ compliant	CI+-konform
Washing performance	Waschwirkung
…incl boost (left rear)	... inkl. Booster (hinten links)
Number of zones	Anzahl der Zonen
Catalyctic cleaning	Katalytisches Reinigungssystem
Bottom heating	Unterhitze
Number of cavities	Anzahl der Garräume
